"tourney_name","match_id","surface","name","hand","rank","round","ace","df","svpt","FirstIn","FirstWon","SecondWon","SvGms","bpSaved","bpFaced","winner","diff_ace","diff_df","diff_svpt","diff_1stIn","diff_1stWon","diff_2ndWon","diff_SvGms","diff_bpSaved","diff_bpFaced"
"Casablanca","2015-360:13","Clay","Guillermo Garcia Lopez","R",-0.404294938333848,"R16",-0.792623283349297,-0.817776026225951,-0.601220756940243,-0.520656068151121,-0.871727909328779,-0.582752435139272,-0.865200968691684,1.60751804439188,1.49405485956812,0,0.257400792789009,-0.353263300911486,0.495535328736976,0.553518600146961,-0.461987507227945,-0.00232509656438621,0.00138233831264201,1.23707448522529,1.3836169873231
"Basel","2015-328:18","Hard","Adrian Mannarino","L",-0.316552524163231,"R16",-0.630950433249503,-1.22511482989293,-1.20746278831206,-1.12427279819819,-1.37561518625916,-0.582752435139272,-0.865200968691684,-0.96842961110089,-0.589100584505649,0,-0.00893643329577934,-0.0267155371314312,-1.22761835634031,-0.901260148027709,-1.17407698382541,-0.811458700970787,-1.36160323795238,-0.729347938256357,-0.176115881770547
"Australian Open","2015-580:72","Hard","Milos Raonic","R",-0.492037352504465,"R64",1.63246946814762,-0.410437222558971,0.0763438663576753,0.412206151012538,1.07183730168841,0.559723321882868,0.843660695612223,-1.29042306803749,-1.51494744853844,1,1.72225553625535,-0.679811064691542,-0.653233794647883,-0.719412804505875,-0.10594276892921,1.29228867048585,1.36436791457767,-0.483545135321151,-0.696026838135097
"Australian Open","2015-580:75","Hard","Paolo Lorenzi","R",-0.184938902907306,"R64",0.662432367548854,0.40424038477499,1.96639255239924,1.3450683701762,1.57572457861879,2.27343695741608,2.06427617011501,0.641537673582094,0.799669711543533,0,-1.47379117676212,-1.0063588284716,-1.80200291803274,-0.992183819788626,-0.936713824959591,-1.45876558449591,-1.36160323795238,0.499666076419673,0.690402378837036
"Australian Open","2015-580:24","Hard","Alejandro Gonzalez","R",0.050868835176227,"R128",-0.792623283349297,-0.00309841889199019,1.28882792910132,0.631703143756928,0.78390171487105,2.41624642704384,1.5760299803139,0.96353113051869,0.568207995535336,1,-0.142105046338174,-2.31254988359182,0.280141118102315,-0.628489132744958,-0.343305927795033,2.26324899577354,1.36436791457767,0.253863273484467,-0.349419533892064
"St. Petersburg","2015-568:26","Hard","Milos Raonic","R",-0.486553451618801,"SF",1.95581516834721,0.40424038477499,-0.494236869051098,-0.246284827220633,0.280014437940667,-1.01118084402257,-0.621077873791126,-0.646436154164294,-1.05202401652204,1,2.12176137538253,1.27947551798879,0.495535328736976,1.46275531775613,2.0303256608632,-1.45876558449591,0.00138233831264201,-0.237742332385945,-0.522723186013581
"Davis Cup WG SF: BEL vs ARG","2015-D014:3","Hard","Diego Sebastian Schwartzman","R",-0.163003299364652,"RR",2.60250656874639,-0.410437222558971,-0.636882052903291,-1.12427279819819,-0.583792322511418,0.274104382627333,-1.10932406359224,-1.29042306803749,-1.28348573253024,0,1.98859276234014,1.27947551798879,0.351939188313868,-0.810336476266792,-1.41144014269124,-0.325978538326946,-1.36160323795238,0.991271682290086,1.73022429156614
"Australian Open","2015-580:65","Hard","Novak Djokovic","R",-0.53042465870411,"R64",0.0157409671496757,-0.410437222558971,-0.815188532718533,-0.740153060895511,-0.367840632398396,-0.15432402625597,-0.13283168399001,-1.29042306803749,-1.28348573253024,1,0.656906631916192,-0.353263300911486,-1.65840677760963,-0.355718117462208,0.724828287101171,0.483155066079454,1.36436791457767,-1.46675634706198,-2.08245605510723
"Houston","2015-717:9","Clay","Ricardas Berankis","R",-0.097196488736689,"R32",-0.954296133449092,-0.410437222558971,-0.529898165014146,-0.520656068151121,-0.583792322511418,-0.582752435139272,-0.621077873791126,0.319544216645497,0.336746279527139,0,-0.142105046338174,-1.65945435603171,-0.0788492329554537,1.09906063071246,0.724828287101171,-1.78241902625847,0.00138233831264201,0.74546887935488,0.863706030958553
"Munich","2015-308:16","Clay","Janko Tipsarevic","R",2.94636850280658,"R16",0.500759517449059,0.811579188441971,0.896553673507787,0.796325888315221,0.927869508279731,0.274104382627333,1.08778379051278,-0.00244924029109999,0.568207995535336,0,0.390569405831404,0.952927754208735,-0.00705116274390005,-0.992183819788626,-0.224624348362122,0.159501624316894,0.00138233831264201,0.253863273484467,0.517098726715519
"Wimbledon","2015-540:48","Grass","Mikhail Kukushkin","R",-0.212358407335624,"R128",-0.469277583149708,-0.00309841889199019,1.03919885735998,0.741451640129123,0.280014437940667,0.845342261138403,0.843660695612223,-0.646436154164294,0.105284563518942,0,-1.34062256371972,-0.0267155371314312,0.998121820217851,0.00797656958145975,-0.936713824959591,0.968635228723294,0.00138233831264201,-0.483545135321151,-0.0028122296490307
"Stockholm","2015-429:15","Hard","Bernard Tomic","R",-0.437198343647829,"R16",-0.145931882950119,0.40424038477499,-0.351591685198905,-0.0267878344762425,-0.511808425807077,-0.582752435139272,-0.621077873791126,-1.29042306803749,-0.820562300513846,0,-1.20745395067733,-0.353263300911486,-0.294243443590115,0.28074758486421,-0.699350666093768,-0.325978538326946,-1.36160323795238,-0.975150741191563,-0.522723186013581
"London","2015-311:28","Grass","Guillermo Garcia Lopez","R",-0.349455929477212,"QF",-0.145931882950119,-0.817776026225951,-0.280269093272808,-0.0267878344762425,0.0640627478276459,0.274104382627333,-0.13283168399001,-1.29042306803749,-1.28348573253024,0,-1.60695978980451,0.299832226648624,0.280141118102315,0.371671256625127,-0.343305927795033,0.159501624316894,0.00138233831264201,-0.483545135321151,-0.176115881770547
